game_id,league_id,season,date,home_team_id,away_team_id,home_goals,away_goals,home_prob,draw_prob,away_prob,home_goals_half_time,away_goals_half_time
4471,1,2014,4/25/2015,76,87,0,0,0.1,0.2573,0.6427,0,0
4257,5,2016,4/29/2017,162,163,1,0,0.0864,0.2708,0.6428,0,0
16024,5,2020,2/26/2021,163,170,1,2,0.1247,0.2321,0.6432,1,1
12588,3,2019,2/8/2020,123,240,0,2,0.1458,0.2108,0.6434,0,0
859,2,2015,4/3/2016,106,113,1,2,0.1322,0.2238,0.644,1,0
482,1,2016,8/27/2016,90,83,1,3,0.1375,0.2184,0.6441,0,3
14477,1,2020,10/17/2020,72,87,2,2,0.1599,0.1957,0.6444,1,1
8029,4,2017,12/18/2017,137,153,0,2,0.1356,0.22,0.6444,0,1
1269,3,2015,4/2/2016,128,118,0,3,0.1329,0.2227,0.6444,0,0
13111,2,2019,9/15/2019,101,107,1,2,0.1328,0.2226,0.6446,0,0
10633,3,2018,5/11/2019,234,130,0,4,0.1272,0.2282,0.6446,0,0
8799,5,2017,2/3/2018,166,167,2,1,0.0673,0.2879,0.6448,1,1
14159,4,2020,9/27/2020,261,138,1,3,0.141,0.214,0.645,0,0
4936,2,2014,2/11/2015,230,109,0,1,0.1264,0.2286,0.645,0,0
4927,2,2014,2/7/2015,94,113,1,3,0.1176,0.2374,0.645,0,1
10882,5,2018,2/10/2019,174,177,1,1,0.1074,0.2475,0.6451,0,0
9469,1,2018,2/26/2019,227,72,0,3,0.0617,0.2932,0.6451,0,1
12107,4,2019,10/20/2019,141,154,0,1,0.1244,0.2304,0.6452,0,1
12366,4,2019,7/7/2020,152,143,1,1,0.0693,0.2853,0.6454,0,1
476,1,2016,8/20/2016,90,80,1,2,0.1078,0.2467,0.6455,0,0
15899,5,2020,12/16/2020,181,160,0,2,0.049,0.3054,0.6456,0,1
3700,2,2016,5/14/2017,106,104,1,2,0.138,0.2161,0.6459,0,1
95,1,2015,8/15/2015,82,85,2,2,0.1614,0.1925,0.6461,2,0
3596,2,2016,2/26/2017,104,111,0,1,0.1306,0.2233,0.6461,0,1
560,2,2015,8/23/2015,112,113,1,2,0.1341,0.2196,0.6463,1,0
3205,3,2016,12/10/2016,126,136,1,0,0.1055,0.248,0.6465,1,0
8172,4,2017,3/31/2018,223,151,1,1,0.1266,0.2267,0.6467,0,0
11768,1,2019,11/23/2019,72,79,0,2,0.1424,0.2108,0.6468,0,0
1512,4,2015,11/22/2015,146,144,1,1,0.132,0.221,0.647,1,0
8280,3,2017,9/9/2017,135,129,0,0,0.1008,0.2521,0.6471,0,0
14579,1,2020,12/26/2020,75,89,2,2,0.1358,0.217,0.6472,1,1
10294,4,2018,4/25/2019,142,150,0,0,0.1107,0.2421,0.6472,0,0
6001,5,2014,1/10/2015,209,163,1,1,0.1311,0.2215,0.6474,0,0
5503,4,2014,5/23/2015,152,141,3,2,0.1392,0.2132,0.6476,1,1
8547,3,2017,5/5/2018,121,124,1,2,0.1306,0.2217,0.6477,1,2
7613,2,2017,11/5/2017,110,95,2,4,0.1511,0.2011,0.6478,2,2
7765,2,2017,3/3/2018,96,98,0,1,0.0496,0.3026,0.6478,0,0
15178,3,2020,10/24/2020,125,130,2,3,0.1678,0.1842,0.648,2,1
15255,3,2020,12/19/2020,125,123,0,1,0.0852,0.2668,0.648,0,0
